Date ||| Status ||| Url ||| Name ||| Message
Thu Jun 16 2022 13:43:35 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /download/1655158163930_somethingnew.mov ||| InternalServerError ||| The "path" argument must be of type string. Received undefined
Thu Jun 16 2022 13:43:56 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /download/1655158163930_somethingnew.mov ||| InternalServerError ||| The "path" argument must be of type string. Received undefined
Thu Jun 16 2022 13:44:11 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /download/1655158163930_somethingnew.mov ||| InternalServerError ||| The "path" argument must be of type string. Received undefined
Thu Jun 16 2022 14:59:37 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /register ||| AuthorizationError ||| this user already exists
Thu Jun 16 2022 15:00:26 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /register ||| AuthorizationError ||| this user already exists
Thu Jun 16 2022 15:00:26 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /register ||| AuthorizationError ||| this user already exists
Thu Jun 16 2022 15:00:27 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /register ||| AuthorizationError ||| this user already exists
Thu Jun 16 2022 15:17:55 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /login ||| AuthorizationError ||| wrong username or password
Thu Jun 16 2022 15:18:22 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /register ||| InternalServerError ||| Cannot read properties of undefined (reading 'userId')
Thu Jun 16 2022 15:20:15 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /register ||| AuthorizationError ||| this user already exists
Thu Jun 16 2022 15:20:43 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /register ||| InternalServerError ||| Cannot read properties of undefined (reading 'userId')
Thu Jun 16 2022 15:21:54 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /register ||| InternalServerError ||| Cannot read properties of undefined (reading 'userId')
Thu Jun 16 2022 15:22:19 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /register ||| InternalServerError ||| Cannot read properties of undefined (reading 'userId')
Thu Jun 16 2022 15:23:29 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /register ||| InternalServerError ||| Cannot read properties of undefined (reading 'userId')
Thu Jun 16 2022 15:26:08 GMT+0500 (Uzbekistan Standard Time) ||| 500 ||| /register ||| InternalServerError ||| Cannot read properties of undefined (reading 'userId')
Thu Jun 16 2022 15:27:14 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /register ||| AuthorizationError ||| this user already exists
Thu Jun 16 2022 15:31:42 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /login ||| AuthorizationError ||| wrong username or password
Thu Jun 16 2022 15:36:04 GMT+0500 (Uzbekistan Standard Time) ||| 401 ||| /login ||| AuthorizationError ||| wrong username or password
Thu Jun 16 2022 16:05:26 GMT+0500 (Uzbekistan Standard Time) ||| 403 ||| /admin ||| ForbiddenError ||| token required
Thu Jun 16 2022 16:05:32 GMT+0500 (Uzbekistan Standard Time) ||| 403 ||| /admin ||| ForbiddenError ||| token required
Thu Jun 16 2022 16:19:44 GMT+0500 (Uzbekistan Standard Time) ||| 403 ||| /admin ||| ForbiddenError ||| token required
